LPRNet loaded
STN loaded
training dataset loaded with length : 0
training kicked off..
----------
Epoch 199/999, Iters: 002400, loss: -0.3141, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 208/999, Iters: 002500, loss: -0.2232, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 216/999, Iters: 002600, loss: -0.2787, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 224/999, Iters: 002700, loss: -0.2639, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 233/999, Iters: 002800, loss: -0.3056, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 241/999, Iters: 002900, loss: -0.2839, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 249/999, Iters: 003000, loss: -0.3238, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 258/999, Iters: 003100, loss: -0.2292, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 266/999, Iters: 003200, loss: -0.2683, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 274/999, Iters: 003300, loss: -0.3063, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 283/999, Iters: 003400, loss: -0.3054, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 291/999, Iters: 003500, loss: -0.2939, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 299/999, Iters: 003600, loss: -0.3259, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 308/999, Iters: 003700, loss: -0.3141, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 316/999, Iters: 003800, loss: -0.2974, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 324/999, Iters: 003900, loss: -0.3259, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 333/999, Iters: 004000, loss: -0.3251, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 341/999, Iters: 004100, loss: -0.2824, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 349/999, Iters: 004200, loss: -0.3017, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 358/999, Iters: 004300, loss: -0.3021, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 366/999, Iters: 004400, loss: -0.2945, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 374/999, Iters: 004500, loss: -0.3253, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 383/999, Iters: 004600, loss: -0.3187, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 391/999, Iters: 004700, loss: -0.2795, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 399/999, Iters: 004800, loss: -0.3209, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 408/999, Iters: 004900, loss: -0.3098, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 416/999, Iters: 005000, loss: -0.3012, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 424/999, Iters: 005100, loss: -0.3215, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 433/999, Iters: 005200, loss: -0.3195, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 441/999, Iters: 005300, loss: -0.2902, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 449/999, Iters: 005400, loss: -0.3230, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 458/999, Iters: 005500, loss: -0.3089, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 466/999, Iters: 005600, loss: -0.2058, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 474/999, Iters: 005700, loss: -0.3261, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 483/999, Iters: 005800, loss: -0.3134, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 491/999, Iters: 005900, loss: -0.2989, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 499/999, Iters: 006000, loss: -0.3263, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 508/999, Iters: 006100, loss: -0.3205, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 516/999, Iters: 006200, loss: -0.2259, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 524/999, Iters: 006300, loss: -0.3298, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 533/999, Iters: 006400, loss: -0.3301, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 541/999, Iters: 006500, loss: -0.3046, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 549/999, Iters: 006600, loss: -0.2826, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 558/999, Iters: 006700, loss: -0.3233, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 566/999, Iters: 006800, loss: -0.3047, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 574/999, Iters: 006900, loss: -0.3236, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 583/999, Iters: 007000, loss: -0.3271, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 591/999, Iters: 007100, loss: -0.3008, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 599/999, Iters: 007200, loss: -0.3320, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 608/999, Iters: 007300, loss: -0.3260, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 616/999, Iters: 007400, loss: -0.2999, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 624/999, Iters: 007500, loss: -0.3096, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 633/999, Iters: 007600, loss: -0.3275, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 641/999, Iters: 007700, loss: -0.2886, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 649/999, Iters: 007800, loss: -0.3244, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 658/999, Iters: 007900, loss: -0.3195, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 666/999, Iters: 008000, loss: -0.2826, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 674/999, Iters: 008100, loss: -0.3248, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 683/999, Iters: 008200, loss: -0.3200, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 691/999, Iters: 008300, loss: -0.2697, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 699/999, Iters: 008400, loss: -0.3306, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 708/999, Iters: 008500, loss: -0.3296, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
